Label,Position,CG,Class,Number,Verb,analysis,Sagen,Given,Answer,Claim,Question,
Rating,EV2,NEW,EV2-NEW ,1,sagen,/c/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Emilie</font> und <font color=""blue""> Frans</font>. ","Du h&ouml;rst <font color=""green"">Emilie</font> sagen:","Die Vermieterin kommt aus Frankreich, oder?","<font color=""blue""> Frans</font> antwortet:","Ja, Vincent hat gesagt, sie hat einen Akzent.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,GIVEN,EVF-GIV ,2,sagen,/b/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">John</font> und <font color=""blue""> Emma</font>. ","Du h&ouml;rst <font color=""green"">John</font> sagen:","Klaus ist der neue Lottogewinner, oder?","<font color=""blue""> Emma</font> antwortet:","Ja, Lena hat gesagt, dass er der neue Lottogewinner ist.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,NEW,EVF-NEW ,3,erwahnen,/a/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Emil</font> und <font color=""blue""> Agnes</font>. ","Du h&ouml;rst <font color=""green"">Emil</font> sagen:","Cornelia hat einen Forschungspreis gewonnen, oder?","<font color=""blue""> Agnes</font> antwortet:","Ja, Sebastian hat erw&auml;hnt, dass sie sehr stolz ist.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,GIVEN,CTRL-GIV,4,erwahnen,/f/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Julie</font> und <font color=""blue""> Ella</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Theodor ist einer Sekte beigetreten, oder?","<font color=""blue""> Ella</font> antwortet:","Ja, und er ist einer Sekte beigetreten. ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,NEW,CTRL-NEW,5,sagen,/e/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Kerstin</font> und <font color=""blue""> Elliot</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Ruths Vater ist B&uuml;rgermeister von Duisburg, oder?","<font color=""blue""> Elliot</font> antwortet:","Ja, er ist Politiker",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,GIVEN,EV2-GIV ,6,erwahnen,/d/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Filippa</font> und <font color=""blue""> Alvin</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Kasper ist der beste Sch&uuml;ler in seiner Klasse, oder?","<font color=""blue""> Alvin</font> antwortet:","Ja, Linnea hat erw&auml;hnt, er ist der beste Sch&uuml;ler in seiner Klasse.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,NEW,EV2-NEW ,7,mir erzahlen,/c/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">August</font> und <font color=""blue""> Hedvig</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Ulrich war bei der Einweihungsparty, oder?","<font color=""blue""> Hedvig</font> antwortet:","Ja, Maja hat mir erz&auml;hlt, er ist fr&uuml;h nach Hause gegangen.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,GIVEN,EVF-GIV ,8,sagen,/b/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Gunnar</font> und <font color=""blue""> Anton</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Frans ist in die Yoga-Lehrerin verliebt, oder?","<font color=""blue""> Anton</font> antwortet:","Ja, Klara hat gesagt, dass er in die Yoga-Lehrerin verliebt ist.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,NEW,EVF-NEW ,9,erwahnen,/a/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Anna</font> und <font color=""blue""> Saskia</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Der Autofahrer ist unschuldig, oder?","<font color=""blue""> Saskia</font> antwortet:","Ja, die Polizistin hat erw&auml;hnt, dass der T&auml;ter unbekannt ist.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,GIVEN,CTRL-GIV,10,mir erzahlen,/f/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Folke</font> und <font color=""blue""> Amanda</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Derek ist neu im Tennisclub, oder?","<font color=""blue""> Amanda</font> antwortet:","Ja, und er ist neu im Tennisclub.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
