Group,Item,factor1,factor2,Sentence,VerbDutch,VerbEnglish,PredicateDutch,PredicateEnglish
a,1,DID,female,Hoe boos op haar vanwege de fout suggereerde ,suggereren,suggest,boos,upset (a)
a,2,DID,male,Hoe trots op hem vanwege de overwinning verwachtte,verwachten,expect,trots,proud
a,3,DID,female,Hoe gefrustreerd met haar vanwege de vertraging veronderstelde,veronderstelt,presuppose,gefrustreerd,frustrated
a,4,DID,male,Hoe gelukkig met hem op het terras zag,zien,see,gelukkig,happy
a,5,DID,female,Hoe tevreden met haar vanwege de omzet merkte,merken,notice,tevreden,content
a,6,DID,male,Hoe teleurgesteld in hem vanwege de slechte score droomde,dromen,dream,teleurgsteld,disappointed
a,7,DID,female,Hoe verliefd op haar op de middelbare school vond ,vinden,find,verliefd,in love with
a,8,DID,male,Hoe ontsteld met hem vanwege de foute opmerking dacht,denken,think,ontsteld,upset (b)
a,9,DID,female,Hoe blij met haar en met de overwinning claimde,claim,claim,blij,happy
a,10,DID,male,Hoe verrast met hem en zijn verloving wist,weet,know,verrast,surprised
a,11,DID,female,Hoe overdonderd door haar en door de afwijzing schreef,schrijven,write,overdonderd,overwhelmed
a,12,DID,male,Hoe gesteld op hem ontdekte,ontdekken,discover,gesteld ,fond of 
a,13,DID,female,Hoe boos op haar en de grote fout verwachtte,geloven,believe,boos,upset (a)
a,14,WAS,female,Hoe boos op haar was ,zijn,be,boos,upset (a)
a,15,WAS,female,Hoe trots op haar was,zijn,be,trots,proud
a,16,WAS,female,Hoe gefrustreerd met haar was,zijn,be,gefrustreerd,frustrated
a,17,WAS,female,Hoe gelukkig met haar was,zijn,be,gelukkig,happy
a,18,WAS,female,Hoe tevreden met haar was,zijn,be,tevreden,content
a,19,WAS,female,Hoe teleurgesteld in haar was,zijn,be,teleurgsteld,disappointed
a,20,WAS,male,Hoe verliefd op hem was ,zijn,be,verliefd,in love with
a,21,WAS,male,Hoe ontsteld met hem was,zijn,be,ontsteld,upset (b)
a,22,WAS,male,Hoe blij met hem was,zijn,be,blij,happy
a,23,WAS,male,Hoe verrast met hem was,zijn,be,verrast,surprised
